student_id,minutes_watched,paid_in_q2
516,46.27,1
520,91.18,1
523,1322.25,1
603,8.18,1
608,387.68,1
614,674.4,1
616,1103.45,1
618,546.35,1
691,499.52,1
698,35.98,1
709,2.3,1
778,201.6,1
782,33.92,1
800,482.23,1
801,333.42,1
804,514.07,1
805,48.47,1
810,190.17,1
829,151.35,1
830,0.35,1
832,358.18,1
838,507.82,1
840,1122.13,1
841,1298.88,1
842,289.58,1
851,375.37,1
854,6.85,1
862,978.92,1
863,624.93,1
865,1038.43,1
870,510.95,1
872,6.72,1
875,355.17,1
876,2.13,1
882,1080.68,1
893,370.12,1
894,0.07,1
900,283.32,1
903,141.35,1
908,2278.02,1
911,878.07,1
916,339.07,1
928,99.05,1
930,159.52,1
933,717.52,1
936,379.87,1
956,1.92,1
959,12.3,1
961,326.13,1
965,1125.8,1
969,57.8,1
973,43.7,1
977,0.6,1
982,38.85,1
985,57.78,1
986,0.07,1
987,149.6,1
988,364.28,1
991,1640.47,1
994,280.97,1
998,6.63,1
999,117.92,1
1006,16.33,1
1008,473.0,1
1010,4.93,1
1014,191.83,1
1015,1026.3,1
1016,56.18,1
1018,171.12,1
1019,8.58,1
1029,62.65,1
1033,0.05,1
1034,107.75,1
1040,0.08,1
1042,403.88,1
1045,82.25,1
1046,899.57,1
1052,34.33,1
1056,25.33,1
1057,1075.13,1
1063,1867.33,1
1064,27.08,1
1066,375.32,1
1073,5.03,1
1081,453.35,1
1086,894.85,1
1091,46.45,1
1099,0.28,1
1102,983.82,1
1105,2.9,1
1116,0.12,1
1119,73.25,1
1125,11.38,1
1128,1002.52,1
1132,139.87,1
1140,137.6,1
1143,21.02,1
1145,657.35,1
1155,9.13,1
1165,40.68,1
1166,338.82,1
1169,49.65,1
1173,487.4,1
1175,35.25,1
1187,63.4,1
1188,35.4,1
1196,119.23,1
1201,200.12,1
1207,184.1,1
1209,6.47,1
1214,36.08,1
1215,1542.72,1
1216,0.18,1
1235,2.75,1
1238,50.8,1
1242,53.38,1
1244,26.03,1
1246,1475.23,1
1253,0.15,1
1257,2.07,1
1259,759.92,1
1272,234.0,1
1283,0.33,1
1284,586.48,1
1292,33.93,1
1294,1.75,1
1299,55.57,1
1306,68.93,1
1323,60.5,1
1324,90.7,1
1327,160.47,1
1331,101.38,1
1336,9.65,1
1347,29.93,1
1350,1694.0,1
1353,397.35,1
1355,232.4,1
1357,142.72,1
1363,765.77,1
1369,4.95,1
1374,219.42,1
1375,28.78,1
1379,3143.92,1
1382,17.15,1
1389,66.67,1
1393,0.05,1
1397,2979.0,1
1424,136.73,1
1426,165.58,1
1428,339.83,1
1434,1690.6,1
1437,318.9,1
1459,95.22,1
1461,7.8,1
1465,47.45,1
1468,10.93,1
1471,0.05,1
1473,48.87,1
1482,354.67,1
1491,2594.37,1
1500,821.4,1
1501,850.03,1
1502,0.63,1
1504,1072.95,1
1513,272.3,1
1522,196.95,1
1531,2.7,1
1532,2.22,1
1535,831.2,1
1537,0.13,1
1538,191.57,1
1542,2007.97,1
1544,26.7,1
1550,395.48,1
1553,83.15,1
1561,550.45,1
1587,93.92,1
1588,5.68,1
1595,102.67,1
1598,65.7,1
1600,33.55,1
1605,173.9,1
1606,5.58,1
1615,3.43,1
1633,13.15,1
1638,706.9,1
1644,135.07,1
1651,71.73,1
1652,322.45,1
1653,247.07,1
1658,159.55,1
1667,23.18,1
1669,259.42,1
1678,470.62,1
1680,1.63,1
1683,1078.18,1
1686,0.13,1
1688,1802.93,1
1693,149.95,1
1695,385.35,1
1701,678.78,1
1702,1.1,1
1705,606.2,1
1710,18.63,1
1711,138.65,1
1713,86.83,1
1732,319.33,1
1733,230.23,1
1737,168.85,1
1739,109.3,1
1759,133.38,1
1765,432.42,1
1773,415.48,1
1776,1695.52,1
1778,887.55,1
1784,0.13,1
1790,1340.68,1
1792,89.05,1
1794,188.13,1
1795,139.98,1
1801,3.0,1
1802,0.45,1
1820,104.48,1
1823,1499.22,1
1827,1.6,1
1835,1386.55,1
1841,23.65,1
1849,81.85,1
1852,587.97,1
1862,2.7,1
1863,118.35,1
1864,454.95,1
1866,1084.68,1
1867,6.07,1
1880,94.98,1
1881,130.05,1
1896,1058.63,1
1897,189.57,1
1898,308.87,1
1900,59.2,1
1902,133.83,1
1908,47.42,1
1909,6.38,1
1911,109.73,1
1914,305.9,1
1917,30.47,1
1918,395.67,1
1932,51.77,1
1935,3.5,1
1938,326.12,1
1945,23.15,1
1947,185.17,1
1950,214.77,1
1957,304.4,1
1959,259.47,1
1960,276.38,1
1977,994.55,1
1993,144.38,1
2003,93.12,1
2010,85.78,1
2018,215.3,1
2019,39.82,1
2022,21.32,1
2026,65.1,1
