student_id,minutes_watched,paid_in_q2
389,0.15,0
801,5732.58,0
875,46.77,0
1357,0.12,0
1373,45.92,0
1397,27.83,0
1424,0.07,0
1437,47.1,0
1688,11.37,0
1845,9.45,0
1866,0.08,0
2022,94.05,0
2188,11.88,0
2266,10.27,0
2688,70.63,0
2863,2.58,0
2938,113.58,0
3074,1.12,0
3297,3.38,0
3522,1.37,0
3774,728.3,0
4112,47.85,0
4231,59.12,0
4298,3.77,0
4439,0.37,0
4566,4.18,0
4685,366.12,0
4907,4.62,0
5058,1.27,0
5221,23.65,0
5567,0.45,0
5683,20.3,0
5704,0.1,0
5974,0.33,0
6110,19.62,0
6174,5.67,0
6801,22.25,0
7282,6.72,0
9101,1.02,0
10218,0.08,0
10390,1.05,0
12820,116.7,0
13132,34.1,0
15472,240.02,0
23287,0.47,0
25494,33.18,0
560,1.22,0
1395,98.58,0
1520,2.1,0
2759,0.25,0
4408,43.63,0
7815,1.95,0
11504,0.45,0
13830,2.05,0
19842,43.82,0
21562,0.4,0
21796,0.05,0
24385,0.35,0
25548,2.63,0
30623,6.28,0
39845,0.08,0
42902,25.43,0
49094,0.48,0
49389,25.95,0
51169,7.42,0
62938,0.27,0
72954,11.93,0
72965,46.47,0
77615,0.35,0
87130,0.77,0
88618,49.05,0
89658,0.27,0
90920,139.65,0
109146,43.78,0
114289,15.8,0
121828,2.78,0
125372,3.4,0
135752,1.25,0
142411,22.17,0
143965,4.48,0
145161,4.92,0
145767,84.88,0
146908,37.63,0
147665,2.68,0
148298,2.1,0
149218,9.18,0
150834,1.87,0
153860,1.22,0
154068,6.2,0
156221,1.78,0
158541,1.1,0
159848,38.45,0
159983,2.58,0
160795,0.27,0
161318,11.67,0
161623,0.07,0
161707,2.2,0
162357,0.33,0
162703,42.15,0
163878,0.52,0
163909,30.73,0
164198,2.85,0
164617,3.25,0
164663,2.98,0
165764,0.53,0
166089,1.5,0
166257,1.75,0
166597,1.37,0
167685,1.03,0
167874,0.15,0
168684,2.95,0
169681,0.55,0
169764,44.73,0
169909,23.97,0
171213,3,0
171274,1.07,0
171735,2.82,0
172596,1.97,0
172761,10.22,0
174034,1.87,0
174547,3.07,0
174665,0.07,0
174949,0.1,0
174957,1.9,0
175111,0.9,0
175647,11.2,0
176396,25.1,0
176400,63.35,0
177245,0.33,0
178140,35.03,0
178204,0.28,0
178454,0.12,0
180823,14.62,0
181099,2.13,0
181286,0.17,0
181830,1.87,0
183512,15.8,0
184118,0.68,0
185508,7.17,0
186147,8.5,0
187082,24.97,0
188012,0.5,0
191551,27.65,0
191632,0.12,0
191879,0.6,0
192890,36.48,0
193587,0.42,0
194127,31.68,0
195688,0.22,0
196224,1.23,0
198702,110.87,0
200342,0.15,0
200579,47.23,0
200820,91.85,0
201778,37.67,0
201881,22.63,0
202137,1.52,0
202546,68.2,0
202781,46.47,0
203189,4.58,0
203259,37.15,0
207387,0.07,0
207655,6.65,0
208165,0.22,0
208364,2.7,0
208606,0.8,0
209592,0.48,0
210350,7.67,0
210585,0.4,0
211004,0.12,0
211370,0.45,0
211515,0.13,0
212157,2.9,0
212483,5.25,0
212860,2.2,0
212998,17.83,0
213468,29.98,0
213527,29.15,0
213529,28.88,0
213613,26.28,0
214519,133.97,0
214939,1.33,0
214959,60.93,0
215021,0.17,0
215342,4.38,0
215907,43.12,0
216308,12.83,0
217654,0.28,0
219164,0.1,0
219477,11.07,0
219739,0.77,0
220508,2.23,0
220586,7.38,0
220772,8.57,0
221232,1.27,0
221418,4.58,0
221547,0.17,0
221992,30.05,0
222519,0.28,0
222849,0.18,0
224547,27.67,0
225806,0.17,0
225818,0.08,0
226171,0.27,0
228016,2.3,0
228614,6.58,0
229524,91.88,0
229738,0.28,0
230675,34.05,0
230977,5.02,0
232219,0.55,0
232700,12.9,0
